voj,28
ojə,20
jəd͡ʒ,15
əbɪ,145
bɪs,152
ɪsi,85
sin,92
ini,79
niə,84
iə
,16
ə

,13



,83


b,9

ba,16
baj,324
aj
,60
j
f,4

fɑ,13
fɑð,50
ɑðɹ̩,50
d͡ʒɹ̩o,4
ɹ̩ow,9
owm,42
low,96
owb,32
wbo,13
bow,66
ow
,43
w

,2


t,5

tɹ,22
tɹæ,69
ɹæn,70
ænz,14
nzl,11
zle,11
lej,293
ejt,366
jtə,57
təd,226
fɹʌ,241
ɹʌm,241
fɹɛ,54
ɹɛn,35
ɛnt͡ʃ,25
nt͡ʃ
,1
t͡ʃ
b,3
j
s,7

sæ,7
sæm,2
æmj,2
mju,26
jul,13
d͡ʒɑn,15
ɑns,37
nsə,71
sən,59
ən
,71
n

,25


k,1

kæ,22
kæs,4
æsə,64
səl,63
kʌm,73
ʌmp,33
mpə,40
pən,60
əni,32
lɪm,2
ɪmə,24
mət,54
ətə,55
əd
,21
d
l,4

lʌ,1
lʌn,5
ʌnd,106
ndə,111
dən,95
pɛɹ,35
ɛɹɪ,32
ɹɪs,60
jɔɹ,4
ɔɹk,1
mɛl,10
ɛlb,1
lbɹ̩,1
bɹ̩n,14
ɹ̩n
,1


ɪ,16

ɪn,89
ɪnt,196
ntɹ,138
tɹə,40
ɹəd,71
ədʌ,4
dʌk,6
ʌkʃ,5
kʃə,58
ʃən,532


d͡ʒ,1

d͡ʒɛ,8
d͡ʒɛɹ,1
ɛɹɑ,1
ɹɑn,5
ɑnə,8
nəm,39
əmo,14
mow,189
wɑz,371
bɔɹ,22
ɔɹn,52
lɪz,9
ɪzb,9
zbə,21
bən,29
jɪɹ,44
ɛnt,263
ntɹ̩,82
tɹ̩d,24
ɔɹd,125
ɹdɹ̩,45
dɹ̩
,7
ɹ̩
ʌ,9

ʌv,83
d͡ʒɛʒ,19
ɛʒu,19
ʒuɪ,19
uɪt,19
ɪts,76
ejd͡ʒ,42
sɪk,52
ɪks,181
kst,68
sti,17
tin,15
æft,98
ftɹ̩,96
pæs,81
æsɪ,5
sɪŋ,45
θɹu,53
stʌ,7
tʌd,3
ʌdi,4
diz,36
iz
,36
z
b,12
wɪt͡ʃ,391
tɹe,38
ɹej,290
ejn,254
jnd,149
fɔɹ,574
mɪʃ,60
ɪʃə,134
ənɛ,36
nɛɹ,47
ɛɹi,171
wɹ̩k,18
ɪnk,44
nkl,10
klu,6
lud,6
udə,10
dəd,99
spɛ,72
pɛʃ,7
ɛʃə,23
ʃəl,10
əl
,50
l
ə,7

ət,6
ətɛ,53
tɛn,87
ɛnʃ,33
nʃə,35
ɑɹt,102
ɹts,38
spi,13
pik,7
ikɪ,3
kɪŋ,133
ænd,1514
ɹaj,131
ajt,184
jtɪ,41
tɪŋ,136
sɛn,75
ə
m,42

mɪ,16
ɪnd,99
ndi,53
diə,56
twɛ,23
wɛn,158
nti,21
tie,9
iej,22
hi
,21
i
ɹ,9

ɹi,22
ɹit͡ʃ,24
it͡ʃt,6
ɡow,92
owə,20
hɪz,361
bʊk,10
tɛl,19
ɛlz,8
ʌv
,145
v
θ,1

θɹ̩,2
θɹ̩t,3
ɹ̩ti,19
tiw,2
iwʌ,2
wʌn,141
tow,70
owl,170
wld,83
ɹiz,124
ɛmp,122
mpl,41
plo,10
loj,10
ojd,27
ðə
,291
ə
k,54

kə,48
kən,298
ənv,47
nvɹ̩,24
vɹ̩ʒ,14
ɹ̩ʒə,15
ʒən,60
iən,39
ənz,248
ðej,425
vɹ̩t,24
ɹ̩tɪ,22
tɪd,90
ɔɹm,66
v
k,11

kɹ,22
kɹɪ,66
ɪst͡ʃ,25
st͡ʃi,7
t͡ʃiæ,7
iæn,7
ænɪ,15
nɪt,11
ɪti,37
pək,3
əkj,25
kju,39
ulj,3
ljɹ̩,6
ðɛm,275
ɛms,54
msɛ,87
sɛl,176
ɛlv,108
lvz,99
ɔɹθ,3
ɹθə,1
θəd,2
ədɑ,2
dɑk,2
ɑks,28
kəθ,1
əθɔ,5
θɔl,1
ɔlə,3
ləs,32
əsɪ,23
sɪz,47
ɪzə,22
zəm,5
ə
ə,22

əb,35
mpɹ̩,81
pɹ̩ɹ̩,66
siɡ,11
iɡd,12
pɹə,135
ɹət,72
tɛk,24
ɛkt,98
ktɹ̩,16
tɹ̩p,9
ɹ̩pɹ,17
pɹa,27
ajz,106
wi
,45
i
h,10

hæ,45
hæv,252
hɪɹ,84
stɔ,18
tɔɹ,45
ɔɹi,18
ld
,17
d

,18


f,1
naj,80
ajn,187
ɪɹz,43
tə
,101
ə
ð,21

ðə,221
ɔɹt,138
ɹti,22
ðɪs,306
ædv,31
dvɛ,5
vɛn,40
nt͡ʃɹ̩,7
t͡ʃɹ̩ə,8
ɹ̩əs,32
taj,159
ajm,115
laj,207
ajf,46
ə
d,24

dɛ,10
dɛθ,37
pʊt,32
ɛnd,135
