d͡ʒɹ̩,133
ɹ̩n,231
ni,449
tə,2796
ðə,3823
wɛ,670
ɛs,438
st,2084
tɹ̩,752
aj,3329
jl,503
lə,798
ən,4203
nd,3450
dz,427
ʌv,2554
sk,411
kɑ,543
ɑt,769
tl,190
d
,526


,795

ɪ,386
ɪn,2334
nt͡ʃ,113
ki,42
iθ,21
θ
,25

a,58
hæ,1264
æd,340
dɪ,1024
ɪz,1489
za,53
jɹ̩,145
ɹ̩d,405
vɪ,220
zə,288
ət,952
hɛ,118
ɛb,35
bɹ,212
ɹɪ,685
ɪd,439
di,279
iz,614
ɔɹ,1991
so,192
ow,2386
w
,73

l,140
lɔ,252
ɔŋ,169
ðæ,805
æt,1097
kɛ,108
ɛɹ,1616
ɹs,109
sl,85
li,1067
ɪm,485
mɛ,326
ɛm,401
mb,124
bɹ̩,224
ha,365
aw,1370
wɪ,1510
ɪʃ,385
wɑ,649
ɑz,580
ɹ̩ɪ,77
ɪd͡ʒ,150
d͡ʒə,252
nə,675
əl,2009
ɪk,662
ks,555
sa,141
jt,802
əd,818
æn,2960

w,382
ɔt,156
əm,525
jɪ,90
ɪɹ,381
du,126
us,140
ʌn,691
dɹ̩,340
ɹ̩t,173
te,388
ej,3713
jk,292
ba,714
j
,155

f,179
fa,279
jn,692
ɪŋ,1112
mɪ,380
ɪs,847
bɑ,125
zw,25
ɛl,486
kə,860
mp,311
pæ,142
nj,168
jə,366
hu,295
uz,152
ək,512
kj,159
ju,498
ut,74
tn,25
əs,863
wʊ,133
ʊd,362
lp,18
ma,270
nk,152
kw,315
wa,185
jɹ,39
ɹi,1156
ɡe,78
ti,657
ɑn,628
nv,166
vɹ̩,646
ɹ̩s,277
se,127
jʃ,422
ʃə,958
sə,942
əv,114
ɪl,677
mæ,268
nɹ̩,219
ɹ̩z,447
ɑɹ,1049
ɹ
,240

s,300
əf,268
fɪ,182
nt,1843
ka,187
wn,800
ɹ̩æ,11
æk,253
kt,441
vi,69
in,235
ns,955
sɪ,445
tɹ,728
ɹæ,279
æv,545
və,330
kʌ,329
lɛ,413
s
,275

h,248
hɑ,88
ɑs,125
sp,360
pɪ,158
ɪt,1156
əb,435
bə,391
wi,531
æs,309
t
,464

ɑ,54
nθ,19
ɑɡ,38
ɡə,120
ɛf,67
ft,155
ɛd,257
də,519
nb,13
ɹ̩o,17
tu,296
no,412
ə
,591

ə,177
dm,22
kɹ,182
ɪp,127
pʃ,38
ɹ̩ɛ,45
ɛk,377
wɹ̩,718
kɔ,183
nɔ,109
ɹθ,20
θw,4
is,110
n
,448

k,283
ko,66
ws,232
ʌm,650
pə,379
id,169
fɹ̩,219
de,148
nʌ,186
ʌð,236
ðɹ̩,479
d͡ʒɛ,147
ɛn,1436
lm,80
mə,765
u
,62
kʊ,137
ɪð,552
ʌs,361
nl,254
ʌf,68
ʃu,31
mʌ,361
ʌt͡ʃ,200
ɔs,50
sɛ,554
ɛp,131
pɹ̩,352
ɹ̩e,62

æ,200
æz,642
ɹɔ,91
fɹ,396
ɪθ,113
fɔ,891
jʊ,83
ʊɹ,133
iɑ,31
t͡ʃ
,69
sm,112
mɔ,252
ɔl,471
ɪt͡ʃ,604
ið,78
nz,476
ɛv,419

ð,575
ðo,155
la,453
ðɪ,220
ðɛ,923
vj,15
jv,193
vz,135
lɪ,559
tɪ,702

n,174
wt,318
hɪ,614
kl,297
jm,415
sʌ,451
ɪf,374
fə,296
lt,179
wv,81
ʃæ,17
æɡ,61
ɡz,107
i
,362

m,202
me,368
jd,505
pɛ,232
ɹə,725
nf,94
ik,122
wə,182
ts,677
ʌθ,46
θɪ,168
ŋ
,91
ɹɑ,218
ɑk,153
le,507
ɹ̩θ,32
nɑ,675
ho,117
wl,253
bɛ,108
v
,267

ɡ,74
ɡɹ,469
vɛ,299
lz,245
hɹ̩,111
wz,305
ɹe,445
jz,284
zɪ,92
z
,484
uə,99
əp,495
pɑ,358
mɹ̩,130
si,381
im,119
mz,208
nɛ,249
ɹd,355

ɔ,51
bi,549
ɹ̩m,84
æb,151
ɹu,229
ɹt,311
nd͡ʒ,137
ta,239
bʌ,465
ʌt,622
tɔ,90
ɹm,208

b,183
bɪ,608
tɛ,415
pl,435
js,343
ɹɛ,539
ɛŋ,26
ŋk,168
kθ,22
dj,8
id͡ʒ,31
d͡ʒ
,23
ɹl,55
fj,98
ld͡ʒ,25
ɹ̩h,86
æp,160
ps,124
t͡ʃɑ,8
ɹd͡ʒ,47

ʌ,125
bæ,82
ɹ̩i,212
ɡɪ,101
ɪv,307
ɪɡ,224
ɡn,94
pɹ,784
ɹo,289
wt͡ʃ,15
t͡ʃɪ,48
ɹ̩
,208
ɹf,74
ɪʒ,24
ʒə,74
wɔ,168
nɪ,244
lo,149
zd,160
wʌ,390
to,174
iə,185
ɛɡ,70
ɑb,62
bl,148
əɡ,203
ɡl,161
ɹʌ,406
kɪ,97
θɔ,63
oj,124
əw,74

d,160
ɹ̩ə,352
lʌ,47
ð
,43
mj,48
ɹa,324
kɹ̩,98
ɹ̩t͡ʃ,53
t͡ʃə,137
ðe,441
ʌl,105
ve,108
dɔ,24
ɹn,85
læ,402
ʃe,20
θɹ,70
ŋh,2
ɹ̩k,65
ɑl,257
ld,477
wp,66
əz,387
mɑ,107
ɹk,64

t,175
ŋɡ,211
ɑm,184
fæ,101
kt͡ʃ,31
t͡ʃɹ̩,209

j,32
jɛ,114
ɛt,276
ɑp,129
pj,53
mo,160
l
,203
kæ,325
wd,148
nu,96
ɛʒ,53
ʒɹ̩,66
θa,98
ɹ̩ʌ,7
ʌp,49
lɡ,7
mu,26
uð,6
we,214
jb,120
wɹ,28
ɹz,110
dv,36
sɑ,48
wk,64
ɑd,49
ɔf,82
pɔ,77
ɹ̩w,24
æɹ,52
d͡ʒɪ,73
dɹ,194
ɔn,28
it͡ʃ,54
hɔ,55
ɹ̩a,35
zɛ,51
wh,3
it,171
mw,12
ke,191
ɹt͡ʃ,50
un,154
bs,41
lɑ,103
fi,77
ɹ̩l,85
bj,35
uk,8
ne,226
fɛ,137
tæ,134
æl,142
ɹɹ̩,25
næ,63
lɹ̩,174
æŋ,86
ɡw,58
əd͡ʒ,210
ɹ̩p,45
ɑd͡ʒ,19
ŋz,75
va,69
sɹ̩,225

i,16
zi,47
ɹ̩ɡ,21
ɡɛ,90
dn,29

ɛ,86
ɹ̩ɑ,8
ʃj,2
fl,94
ʃt,74
ɹ̩v,109
iv,174

p,228
zɹ̩,90
hi,331
m
,116
əθ,28
θi,22
pe,101
su,76
ŋd,8
pʊ,28
dl,46
ɪb,46
um,127
sz,3
fɑ,125
ɡm,10
t͡ʃb,5

v,58
nʃ,68
km,7
uv,50

ɹ,133
ms,79
lf,77
t͡ʃe,31
iɡ,30
ɡɹ̩,73
dɛ,108
θu,2
iæ,8
pa,140
up,37
sn,21
k
,62
pi,152
ip,164
ln,17

θ,35
da,83
lu,82
uʃ,31
il,97
æd͡ʒ,54
d͡ʒu,26
ʌk,61
fʊ,32
ʊl,35
jʌ,30
ʌŋ,105
na,168
be,24
po,150

ʃ,27
ʃɛ,27
lv,97
iɛ,11
ud,132
mi,148
iɪ,60
zɑ,12
vd,117
ie,27
t͡ʃæ,33
lw,58
pt,114
nh,95
ʃɹ,3
ʌb,69
bz,30
ɛθ,28
θə,20
ɡɑ,47
sf,28
ʊt,20
mθ,17
ɛz,79
t͡ʃu,43
ʃʊ,70

d͡ʒ,33
d͡ʒʌ,41
lθ,25
wb,27
dʌ,73
jp,61
kʃ,110
dɑ,62
bd,19
ʃ
,11
væ,78
bʊ,29
ʊk,53
dæ,13
tʌ,24
ʌd,40
ɛd͡ʒ,46
ue,14
t͡ʃi,87
ʌɡ,23
ɡʒ,7
æt͡ʃ,49
np,14
ji,6
hʌ,86
sɔ,69
bd͡ʒ,16
ɛʃ,54
θs,16
bɔ,48
if,84

t͡ʃ,22
ɔɡ,5
ɡj,37
ɹ̩ɹ̩,15
dʃ,9
ʃɪ,48
æm,127
ʌd͡ʒ,18
