
,58229
ʌ,48035
ð,60451
ɹ̩,43895
b,36671
ʊ,8589
k,54812
s,93819
a,47743
j,78675
ɹ,81393
o,28267
w,80076
l,75912
d,86958
ɑ,37371
ə,138203
f,33934
ɡ,16606
t,128127
e,27626
z,53392
v,34244
t͡ʃ,10497
h,32594
æ,67076
n,134059
ɪ,110650
ŋ,19671
i,61991
ɔ,29835
ɛ,52760
m,57331
p,34026
d͡ʒ,9503
ʃ,12927
u,22388
θ,9740
ʒ,712
‘,2101
…,115
–,519
	,78344
#,3
*,70
/,103
&,9
—,1292
%,4
@,4
$,4
,288
E,2
́,3
£,3
,13
ã,1
©,1
,73
,199
,70
,131
,57
,78
,56
,44
,73
§,12
¨,18
,20
,4
,48
¸,1
´,10
∗,3
,1
\,2266
 ,44
,5
′,1
ë,2
«,2
»,2
^,5
>,2
|,2
,1
<,1
{,1
„,1
